TOM-ACT,Name_Movie,Actors,Actor_2,Actor_3,Actor_4,Came_out,Date_M,Rate_S,Director
Action,Rouge City,Lannick Gauty,Stanislas Merhar,Kaaris,David Belle,12-Jul-05,,6.1,Olivier Marchal
Action,Tenet,Johan David Washington,Robert Pattinson,Elizabeth Debicki,Juhan Ulfsak,2020,,7.8,Christopher Nolan
Action,Dunkirk,Fionn Whitehead,Barry Keoghan,Mark Rylance,,2017,,7.9,Christopher Nolan
Action,Love and Monsters,Dylan O'Brien,Jessica Henwick,Micheal Rooker,Dan Ewing,2020,,7,Micheal Matthews
Action,The Gentlemen,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong,2019,,7.8,Guy Ritchie
Action,V For Vendetta,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,2005,,8.2,James McTeigue
Action,Avenger,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Chris Hemsworth,2012,,8,Joss Whedon
Action,Thor: Ragnarock,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,,2017,,7.9,Taika Waititi
Action,Thor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,,2011,,7,Kenneth Branagh
Action,Captain America: Civil War,Chris Evans,Robert Downey Jr.,Scarlett Johansson,,2016,,7.8,Anthony Russo
Action,Snow White and the Huntsman,Chris Hemsworth,Kristen Stewart,Charlize Theron,,2012,,6.1,Rupert Sanders
Action,Iron Man 3,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,,2013,,7.2,Shane Black
Action,Doctor Strange,Benedict Cumberbatch,Chiwetel Eji,Rachel McAdams,,2016,,7.5,Scott Derrickson
Action,Ant-Man,Paul Rudd,Michael Douglas,Corey Stoll,,2015,,7.3,Peyton Reed
Action,Guardians of the Galaxy Vol. 2,Chris Pratt,Dave Bautista,Zoe Saldana,,2017,,7.6,James Gunn
Action,Guardians of the Galaxy,Chris Pratt,Vin Diesel,Bradley Cooper,,2014,,8,Jame Gunn
Action,Avenger: Age of Ultron,Robert Downey Jr.,Chris Evans,Mark Ruffalo,,2015,,7.3,Joss Whedon
Action,Avengers: Infinity War,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,,2018,,8.4,Anthony Russo
Action,Sherlock Holmes,Robert Downey Jr.,Jude Law,Rachel McAdams,,2009,,7.6,Guy Ritchie
Action,Pirates of the Carribbean: Dead Man's Chest,Johnny Depp,Orlando Bloom,Keira Knightley,,2006,,7.3,Gore Verbinski
Action,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,Geoffrey Rush,Orlando Bloom,,2003,,8,Gore Verbinski
Action,Pirates of the Caribbean: On Stranger Tides,Johnny Depp, Penélope Cruz,Ian Mcshane,,2011,,6.6,Rob Marshall
Action,Pirates of the Caribbean:Dead Men Tell No Tales,Johnny Depp,Geoffrey Rush,Javier Bardem,,2017,,6.5,Joachim Ronning
Action,Spider-Man,Tobey Maguire,Kirsten Dunst,Willem Dafoe,,2002,,7.3,Sam Raimi
Action,The Hunger Games: Catching Fire,Jennifer Lawrence,Josh Hutcherson,Liem Hemsworth,,2013,,7.5,Francis Lawrence
Action,The Hunger Games: Mockingjay- Part 2,Jennifer Lawrence,Josh Hutcherson,Liem Hemsworth,,2015,,6.6,Francis Lawrence
Action,The Hunger Games: Mockingjay- Part 1,Jennifer Lawrence,Josh Hutcherson,Liem Hemsworth,,2014,,6.6,Francis Lawrence
Action,Suicide Squad,Will Smith,Jared Leto,Margot Robbie,,2016,,6,David Ayer
Action,Justice League,Ben Affleck,Gal Gadot,Jason Momoa,,2017,,6.3,Zack Snyder
Action,Wonder Woman,Gal Gadot,Chris Pine,Robin Wright,,2017,,7.4,Patty Jenkins
Action,Batman V Superman: Dawn of Justice,Ben Affleck,Henry Cavill,Amy Adams,,2016,,6.4,Zack Snyder
Action,Deadpool,Ryan Reynolds,Morena Baccarin,T.J. Miller,,2016,,8,Tim Miller
Action,Man of Steel,Henry Cavill,Amy Adams,Michael Shannon,,2013,,7,Zack Snyder
Action,X-Men: First Class,James McAvoy,Michael Fassbender,,Jennifer Lawrence,2011,,7.7,Matthew Vaughn
Action,X-Men Origins: Wolverine,Hugh Jackman,Live Schreiber,Ryan Reynolds,,2009,,6.6,Gavid Hood
Action,X-Men:Apocalypse,James McAvoy,Michael Fassbender,Jennifer Lawrence,,2016,,6.9,Bryan Singer
Action,Spider-Man: Homecoming,Tom Holland,Michael Keaton,Robert Downey Jr.,,2017,,7.4,Jon Watts
Action,Deadpool 2,Ryan Reynolds,Josh Brolin,Morena Baccarin,,2018,,7.7,David Leitch
Action,Ant-Man and the Wasp,Paul Rudd,Evangeline Lilly, Michael Peña,,2018,,7.1,Peyton Reed
Action,Venom,Tom Hardy,Michelle Willams,Riz Ahmed,,2018,,6.7,Ruben Fleischer
Action,Bumblebee,Hailee Steinfeld,Jorge Lendeborg Jr.,John Cena,,2018,,6.8,Travis Knight
Action,Shazam!,Zachary Levi,Mark Strong,Asher Angel,,2019,,7.1,David F.Sandberg
Action,Alita: Battle Angel,Rosa Salazar,Christoph Waltz,Jennifer Connelly,,2019,,7.3,Robert Rodriguez
Action,Jurassic World: Fallen Kingdom,Chris Pratt,Bryce Dallas Howard,Rafe Spall,,2018,,6.2,J.A. Bayona
Action,Ready Player One,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,,2018,,7.5,Steven Spielberg
Action,Mission: Impossible-Fallout,Tom Cruise,Henry Cavill,Ving Rhames,,2018,,7.7,Christopher McQuarrie
Action,Black Panther,Chadwick Boseman,Micheal B. Jordan,Lupita Nyong'o,,2018,,7.3,Ryan Coogler
Action,The Equalizer 2,Denzel Washington,Pedro Pascal,Ashton Sanders,,2018,,6.7,Antoine Fuqua
Action,The Equalizer ,Denzel Washington,Marton Csokas, Chloë Grace Moretz,,2014,,7.2,Antoine Fuqua
Horror,His House,Sope Dirisu,Wunmi Mosaku,Malaika Wakoli-Abigaba,Matt Smith,2020,,6.4,Remi Weekes
Horror,Halloween,Donald Pleasence, Jamie Lee Curtis,Tony Moran,,1978,,7.8,John Carpenter
Horror,Halloween II,Jamie Lee Curtis,Donald Pleasence,Charles Cyphers,,1981,,6.5,Rick Rosenthal
Horror,Halloween III: Season of the Witch,Tom Atkins,Stacey Nelkin,Dan O'Herlihy,,1982,,5,Tommy Lee Wallace
